surface,pos,meaning_es,meaning_zh,syntactic_role_es,syntactic_role_zh,note
el,"artículo","Artículo definido masculino singular","定冠词(阳性单数)","Determinante","冠词","无对应汉字, 语法成分"
la,"artículo","Artículo definido femenino singular","定冠词(阴性单数)","Determinante","冠词","无对应汉字, 语法成分"
los,"artículo","Artículo definido masculino plural","定冠词(阳性复数)","Determinante","冠词","无对应汉字, 语法成分"
las,"artículo","Artículo definido femenino plural","定冠词(阴性复数)","Determinante","冠词","无对应汉字, 语法成分"
un,"artículo","Artículo indefinido masculino singular","不定冠词(阳性单数)","Determinante","冠词",""
una,"artículo","Artículo indefinido femenino singular","不定冠词(阴性单数)","Determinante","冠词",""
unos,"artículo","Artículo indefinido masculino plural","不定冠词(阳性复数)","Determinante","冠词",""
unas,"artículo","Artículo indefinido femenino plural","不定冠词(阴性复数)","Determinante","冠词",""
al,"contracción","Contracción de la preposición 'a' + artículo 'el'","介词a+冠词el 的缩合","Enlace","介词+冠词","al = a + el; 常引出直接/间接宾语或 al+infinitivo"
del,"contracción","Contracción de la preposición 'de' + artículo 'el'","介词de+冠词el 的缩合","Enlace","介词+冠词","del = de + el; 多对应汉语 '之'"
y,"conjunción","Conjunción copulativa (y)","并列连词 '和/与'","Nexo coordinante","连词","连接对等成分; e 用于 i-/hi- 前"
e,"conjunción","Variante de 'y' ante palabra que empieza por i-/hi-","'y' 在 i-/hi- 前的变体","Nexo coordinante","连词",""
o,"conjunción","Conjunción disyuntiva (o)","选择连词 '或'","Nexo coordinante","连词","u 用于 o-/ho- 前"
u,"conjunción","Variante de 'o' ante palabra que empieza por o-/ho-","'o' 在 o-/ho- 前的变体","Nexo coordinante","连词",""
ni,"conjunción","Conjunción copulativa negativa (ni)","否定并列连词 '也不'","Nexo coordinante","连词",""
que,"pron/conj","Relativo ('el que…') o conjunción subordinante (que)","关系代词/从属连词 '……的;那……'","Nexo subordinante / relativo","关系代词或连词","引导定语从句或宾语从句"
quien,"pronombre","Pronombre relativo (quien = el que)","关系代词 '……的人'","Nexo relativo","关系代词",""
quienes,"pronombre","Pronombre relativo plural (quienes)","关系代词(复数)","Nexo relativo","关系代词",""
como,"conj/adv","Como (comparativo / modal: 'tal como')","如、像、犹如","Nexo comparativo/modal","连词/副词",""
cuando,"conjunción","Cuando (temporal)","当……时","Nexo temporal","时间连词",""
cuándo,"adverbio","Cuándo (interrogativo de tiempo)","何时(疑问)","Interrogativo","疑问副词",""
donde,"adverbio","Donde (relativo de lugar)","……的地方","Nexo relativo de lugar","关系副词",""
dónde,"adverbio","Dónde (interrogativo de lugar)","何处(疑问)","Interrogativo","疑问副词",""
sino,"conjunción","Sino (adversativa: 'no…sino…')","而是、却","Nexo adversativo","转折连词",""
pero,"conjunción","Pero (adversativa)","但是、然而","Nexo adversativo","转折连词",""
mas,"conjunción","Mas (adversativa culta = pero)","但、然而(书面)","Nexo adversativo","转折连词","文言色彩, 无重音"
pues,"conjunción","Pues (causal / consecutiva)","因为、于是","Nexo causal/consecutivo","连词",""
así,"adverbio","Así (de este modo) / 'así que' consecutivo","如此、这样、于是","Adverbio de modo / nexo","副词/连词",""
entonces,"adverbio","Entonces (temporal / consecutivo)","那么、于是、那时","Adverbio / nexo consecutivo","副词/连词",""
luego,"adverbio","Luego (después / por tanto)","随后、于是","Adverbio temporal/consecutivo","副词",""
ya,"adverbio","Ya (aspecto: ya no / ya que)","已经、既然","Adverbio","副词",""
si,"conjunción","Si (condicional)","如果、若","Nexo condicional","条件连词",""
tal,"determinante","Tal (así, semejante; 'tal como')","这样的、如此","Determinante/adverbio","指示限定词",""
más,"adverbio","Más (comparativo de cantidad/grado)","更、越发","Adverbio de cantidad","程度副词",""
menos,"adverbio","Menos (comparativo)","更少、越少","Adverbio de cantidad","程度副词",""
tan,"adverbio","Tan (intensificador: tan…como)","那么、如此","Adverbio de grado","程度副词",""
tanto,"adverbio/pron","Tanto (cantidad; 'tanto…como')","那么多、既……又","Adverbio/pronombre","数量副词",""
cuanto,"pron/adv","Cuanto (relativo de cantidad: 'cuanto más')","……多少就……","Nexo relativo de cantidad","关系词",""
