translator,chapter,sentence_no,chinese,spanish,note
arsovska,1,1,"道可道，非常道。","El Dao del que se puede hablar no es el Dao constante;",""
arsovska,1,2,"名可名，非常名。","el nombre que se le puede asignar no es su nombre permanente.",""
arsovska,1,3,"无名天地之始，","No tiene nombre el inicio del cielo y la tierra;",""
arsovska,1,4,"有名万物之母。","sí lo tienen las madres de las diez mil cosas.",""
arsovska,1,5,"故常无欲，以观其妙；","Por ello, siempre sin apego se observan sus prodigios,",""
arsovska,1,6,"常有欲，以观其徼。","y siempre con anhelo se indagan sus límites.",""
arsovska,1,7,"此两者同出而异名，同谓之玄，","Estos dos, juntos, emergen de la misma fuente, pero se nombran diferente; juntos se nombran misterio.",""
arsovska,1,8,"玄之又玄，众妙之门。","Son el misterio del misterio, puerta de infinitos prodigios.",""
arsovska,2,1,"天下皆知美之为美，斯恶已。皆知善之为善，斯不善已。","En el mundo, todos saben que en la belleza emerge la fealdad y en la bondad asoma la maldad.",""
arsovska,2,2,"故有无相生，难易相成，长短相较，高下相倾，","Lo manifiesto y lo no manifiesto se generan mutuamente; fácil y difícil se logran uno al otro; largo y corto se definen mutuamente; alto y bajo dependen el uno del otro.",""
arsovska,2,3,"音声相和，前后相随。","El tono y el sonido se armonizan; adelante y atrás se persiguen.",""
arsovska,2,4,"是以圣人处无为之事，行不言之教；","Puesto que así son las cosas, el sabio actúa sin hacer, enseña sin predicar,",""
arsovska,2,5,"万物作焉而不辞，","y las diez mil cosas suceden sin pregonar.",""
arsovska,2,6,"生而不有，为而不恃，功成而弗居。","Engendra sin poseer, actúa sin apego, no se atribuye méritos",""
arsovska,2,7,"夫唯弗居，是以不去。","y, justo por ello, nada puede perder.",""
arsovska,3,1,"不尚贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民心不乱。","Al no valorar a los genios, el pueblo no pelea; al no apreciar lo escaso, el pueblo no roba; al no exhibir lo que incita al deseo, el corazón no se alborota.",""
arsovska,3,2,"是以圣人之治，虚其心，实其腹，弱其志，强其骨。","Así es como el sabio gobierna: vacía las mentes y llena los vientres; debilita la voluntad y fortalece los huesos.",""
arsovska,3,3,"常使民无知无欲。","Haz que el pueblo nada sepa y nada anhele.",""
arsovska,3,4,"使夫智者不敢为也。","Haz que el sagaz no se atreva a actuar.",""
arsovska,3,5,"为无为，则无不治。","Actuando sin hacer, nada queda sin atender.",""
arsovska,4,1,"道冲而用之或不盈，","El Dao se agita, pero nunca se desborda.",""
arsovska,4,2,"渊兮似万物之宗；","¡Qué abismo! Parece el ancestro de las diez mil cosas.",""
arsovska,4,3,"挫其锐，解其纷，和其光，同其尘，","Aplana el filo, deshace el nudo, pule el brillo y reúne el polvo.",""
arsovska,4,4,"湛兮似或存。","¡Qué profundo! Parece existir...",""
arsovska,4,5,"吾不知谁之子，","No sé de quién es hijo;",""
arsovska,4,6,"象帝之先。","semeja al ancestro de las deidades.",""
arsovska,5,1,"天地不仁，以万物为刍狗；","El cielo y la tierra no son compasivos, toman las diez mil cosas por perros de paja.",""
arsovska,5,2,"圣人不仁，以百姓为刍狗。","El sabio no es compasivo; toma al pueblo por perro de paja.",""
arsovska,5,3,"天地之间，其犹橐龠乎？","Entre el cielo y la tierra ¿acaso no sopla un fuelle?",""
arsovska,5,4,"虚而不屈，动而愈出。","Vacuidad que no se agota; cuanto más se mueve, más emana.",""
arsovska,5,5,"多言数穷，不如守中。","Las palabras pronto se acaban; nada como conservar el justo medio.",""
arsovska,6,1,"谷神不死，是谓玄牝。","El espíritu del valle no perece; se nombra la hembra misteriosa.",""
arsovska,6,2,"玄牝之门，是谓天地根。","La puerta de la hembra es la raíz del cielo y la tierra,",""
arsovska,6,3,"绵绵若存，用之不勤。","sutil y etérea, mas inagotable en su utilidad.",""
arsovska,7,1,"天长地久。","El cielo es longevo y la tierra perenne,",""
arsovska,7,2,"天地所以能长且久者，以其不自生，故能长生。","y así son porque no se crean a sí mismos; por ello pueden perdurar.",""
arsovska,7,3,"是以圣人后其身而身先；外其身而身存。","Así, el sabio se sitúa atrás para estar adelante, se relega para perdurar.",""
arsovska,7,4,"非以其无私邪，故能成其私。","¿No es acaso menguar el 'yo' lo que permite lograr el 'yo'?",""
arsovska,8,1,"上善若水。","La bondad superior es como el agua.",""
arsovska,8,2,"水善利万物而不争，处众人之所恶，故几于道。","El agua favorece a todas las cosas sin contender y habita los lugares repelidos por el hombre; por ello se asemeja al Dao.",""
arsovska,8,3,"居善地，心善渊，与善仁，言善信，正善治，事善能，动善时。","Habita en tierras amables, su corazón es bondad profunda, se relaciona con compasión, habla con credibilidad, gobierna con rectitud, actúa con habilidad, se mueve con oportunidad.",""
arsovska,8,4,"夫唯不争，故无尤。","El sabio no contiende y, por eso mismo, no se equivoca.",""
arsovska,9,1,"持而盈之，不如其已；","Más vale soltar que aferrarse a lo colmado.",""
arsovska,9,2,"揣而棁之，不可长保。","Por más que ocultes y afiles la espada, su filo no durará.",""
arsovska,9,3,"金玉满堂，莫之能守；","¿Quién puede cuidar un palacio lleno de oro y jade?",""
arsovska,9,4,"富贵而骄，自遗其咎。","Presumir la riqueza augura sólo calamidad.",""
arsovska,9,5,"功成身退，天之道也。","Saber retirarse al lograr es el Dao del cielo.",""
arsovska,10,1,"载营魄抱一，能无离乎？","Nutriendo el alma terrestre, ¿puedes afianzar su unión con el cuerpo?",""
arsovska,10,2,"专气致柔，能婴儿乎？","Suavizando el qi, ¿puedes ser infante de nuevo?",""
arsovska,10,3,"涤除玄览，能无疵乎？","Puliendo el espejo misterioso, ¿puedes eliminar sus imperfecciones?",""
arsovska,10,4,"爱国治民，能无知乎？","¿Puedes amar la patria y gobernar al pueblo actuando sin hacer?","译文语序与原文互换(与'天门开阖'句)"
arsovska,10,5,"天门开阖，能为雌乎？","¿Puedes abrir y cerrar la puerta del cielo sin actuar como hembra?","译文语序与原文互换(与'爱国治民'句)"
arsovska,10,6,"明白四达，能无为乎？","¿Puedes comprender el mundo rechazando el conocer?",""
arsovska,10,7,"生之，畜之。","Los crea, los cría,",""
arsovska,10,8,"生而不有，为而不恃，长而不宰，是谓玄德。","engendra sin poseer, actúa sin apego, cría sin dominar. Eso se nombra Virtud misteriosa.",""
arsovska,11,1,"三十辐，共一毂，当其无，有车之用。","Treinta rayos forman el cubo de la rueda; el espacio entre ellos permite que la rueda cumpla su función.",""
arsovska,11,2,"埏埴以为器，当其无，有器之用。","Se amasa el barro para hacer una vasija; el vacío en su interior permite que la vasija cumpla su función.",""
arsovska,11,3,"凿户牖以为室，当其无，有室之用。","Paredes y ventanas forman un recinto; en lo no manifiesto está su función.",""
arsovska,11,4,"故有之以为利，无之以为用。","Por ello, en lo manifiesto está la forma; en lo no manifiesto, la utilidad.",""
arsovska,12,1,"五色令人目盲，五音令人耳聋，五味令人口爽，","Los cinco colores provocan ceguera, los cinco sonidos provocan sordera, los cinco sabores entorpecen el paladar.",""
arsovska,12,2,"驰骋畋猎令人心发狂，难得之货令人行妨。","Las carreras y la caza conducen a la locura, lo difícil de obtener obstruye la cordura.",""
arsovska,12,3,"是以圣人为腹不为目，","Por eso, el sabio percibe con la entraña y no con los ojos.",""
arsovska,12,4,"故去彼取此。","Deja aquello y elige esto.",""
arsovska,13,1,"宠辱若惊，贵大患若身。","La honra y el desdén aturden por igual. Valora la gran desgracia cual si fuera tu propio cuerpo.",""
arsovska,13,2,"何谓宠辱若惊？","¿Qué significa 'La honra y el desdén aturden por igual'?",""
arsovska,13,3,"宠为下，得之若惊，失之若惊，是谓宠辱若惊。","La honra es mundana. Obtenerla aturde; perderla, también. Por ello, la honra y el desdén aturden por igual.",""
arsovska,13,4,"何谓贵大患若身？","¿Qué significa 'Valora la gran desgracia cual si fuera tu propio cuerpo'?",""
arsovska,13,5,"吾所以有大患者，为吾有身，及吾无身，吾有何患？","Siento la gran desgracia por tener cuerpo. Si no tuviera cuerpo, ¿qué desgracia podría sentir?",""
arsovska,13,6,"故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。","Por ello, a quien valora al mundo como a su cuerpo se le puede encomendar el mundo; a quien ama al mundo como a su cuerpo se le puede confiar el mundo.",""
arsovska,14,1,"视之不见名曰夷，听之不闻名曰希，搏之不得名曰微。","Lo miras, pero no lo ves. Lo nombras invisible. Lo oyes, pero no lo escuchas. Lo nombras inaudible. Lo abrazas, pero no lo apresas. Lo nombras diminuto.",""
arsovska,14,2,"此三者，不可致诘，故混而为一。","Estos tres no se someten al saber, y por eso se funden en uno.",""
arsovska,14,3,"其上不皦，其下不昧。","Arriba no es claro, abajo no es oscuro.",""
arsovska,14,4,"绳绳不可名，复归于无物。","Lo distingue la continuidad y no puede ser nombrado. Retorna hacia donde no hay cosas;",""
arsovska,14,5,"是谓无状之状，无物之象，是谓惚恍。","se llama la forma sin forma, la imagen sin cuerpo; se llama lo indistinto.",""
arsovska,14,6,"迎之不见其首，随之不见其后。","Lo encaras y no ves su rostro, lo persigues y no ves su dorso.",""
arsovska,14,7,"执古之道，以御今之有。","Abrazar el Dao de antaño permite regir el hoy.",""
arsovska,14,8,"能知古始，是谓道纪。","Conocer el comienzo remoto es conocer la hebra del Dao.",""
arsovska,15,1,"古之善为士者，微妙玄通，深不可识。","Los caballeros antaño versados en el Dao eran penetrantes y agudos; su profundidad impedía conocerlos,",""
arsovska,15,2,"夫唯不可识，故强为之容：","y, al no poder conocerlos, sólo quedaba describirlos.",""
