preposition,sense_no,meaning_es,meaning_zh,example
de,1,"Posesión / pertenencia","的、之(所属)","el Dao del cielo = 天之道"
de,2,"Origen / procedencia","从、出自","nace de lo Manifiesto = 生于有"
de,3,"Materia / contenido","由…构成、…的","perros de paja = 刍狗"
de,4,"Complemento de un nombre (relación)","关于、对…的","refugio de todas las cosas = 万物之奥"
a,1,"Marca de objeto directo de persona (a personal)","(宾格前置, 无实义)","favorece a las cosas = 利万物"
a,2,"Dirección / destino","向、到","retorna a la raíz = 归根"
a,3,"Complemento indirecto (a alguien)","给、对","se le asigna = 给…命名"
a,4,"'al' + infinitivo: al hacer algo","一…就…、当…时","al lograr = 功成时"
en,1,"Ubicación en el espacio","在…里、于","en el mundo = 天下"
en,2,"Ubicación en el tiempo","在…时","en invierno = 冬"
en,3,"Modo o estado","以…方式、处于","en armonía = 和"
con,1,"Compañía / instrumento","和、用","gobierna con rectitud = 正善治"
con,2,"Modo (con + sustantivo abstracto)","带着、以…地","habla con credibilidad = 言善信"
por,1,"Causa / motivo","因为、由于","por ello = 故"
por,2,"Agente de pasiva","被","repelido por el hombre = 众人所恶"
por,3,"'tomar por' = considerar como","当作、视为","toma al pueblo por perro = 以百姓为狗"
por,4,"'por más que' = aunque (concesivo)","无论多么、纵使","por más que ocultes = 揣之"
para,1,"Finalidad / propósito","为了、以便","para perdurar = 以…长生"
para,2,"Destinatario","给、对于","para el mundo = 于天下"
sin,1,"Ausencia / negación (sin algo)","没有、无","sin nombre = 无名"
sin,2,"'sin' + infinitivo: acción no realizada","不…而…","actúa sin hacer = 为而不为(无为)"
entre,1,"En medio de dos o más","在…之间","entre el cielo y la tierra = 天地之间"
hacia,1,"Dirección aproximada","朝、向","retorna hacia = 复归于"
desde,1,"Punto de partida (espacio/tiempo)","从…起","desde la antigüedad = 自古"
hasta,1,"Límite / término","直到、至","hasta el límite = 至极"
sobre,1,"Encima de / acerca de","在…上、关于","oscuridad sobre oscuridad = 玄之又玄"
bajo,1,"Debajo de (posición inferior)","在…之下","bajo el cielo = 天下"
bajo,2,"Sometido a / según","受…支配、依照","bajo el Dao = 依道"
contra,1,"Oposición / en contra de","对抗、反对","va contra el Dao = 不道"
contra,2,"Contacto o apoyo en algo","靠着、抵住","",
mediante,1,"Por medio de / a través de","通过、借助","mediante la quietud = 以静"
según,1,"Conforme a / de acuerdo con","依照、按照","según el Dao = 依道"
tras,1,"Detrás de / después de","在…之后、跟随","tras la guerra = 大军之后"
ante,1,"Delante de / frente a","在…面前、面对","ante el pueblo = 于民前"
