translator,chapter,sentence_id,token_index,spanish,lemma,chinese,pinyin,meaning,pos,is_proper_noun,syntactic_role_es,syntactic_role_zh,verb_person,verb_number,verb_tense,verb_mood,other_translation,pronoun_ref,clause_type,note
arsovska,1,1-1,2,"Dao","Dao","道","dào","El Dao, principio central","sustantivo",true,"Sujeto","名词作主语","","","","","","","oración principal","专有名词: 音译保留, 不译 Camino/Vía"
arsovska,1,1-1,4,"que","que","（关系代词）","-","Pronombre relativo","pronombre",false,"Nexo subordinante","关系代词","","","","","","que → Dao (道)","subordinada relativa",""
arsovska,1,1-1,5,"se","se","（可-被动）","-","'se' de pasiva refleja/impersonal","pronombre",false,"Marca de pasiva refleja","被动标记","","","","","","se → impersonal","subordinada relativa","'可道' 的被动语气"
arsovska,1,1-1,6,"puede","poder","可","kě","Poder, ser posible","verbo",false,"Verbo modal","能愿动词",3,"singular","presente","indicativo","","","subordinada relativa","变位: 3ª sing. pres. indicativo"
arsovska,1,1-1,7,"hablar","hablar","道","dào","Hablar, expresar","verbo",false,"Verbo principal (infinitivo)","动词作谓语","","","","infinitivo","","","subordinada relativa","'道' 作动词=说"
arsovska,1,1-1,8,"no","no","非","fēi","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,1,1-1,9,"es","ser","（系词）","-","Ser (cópula)","verbo",false,"Verbo copulativo","系动词",3,"singular","presente","indicativo","","","oración principal","判断句"
arsovska,1,1-1,11,"Dao","Dao","道","dào","El Dao constante","sustantivo",true,"Atributo","名词作表语","","","","","","","oración principal","专有名词"
arsovska,1,1-1,12,"constante","constante","常","cháng","Constante, permanente, eterno","adjetivo",false,"Adyacente (modificador)","形容词作定语","","","","","","","oración principal","'非常道' 的 '常'"
arsovska,1,1-2,14,"nombre","nombre","名","míng","Nombre","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","'名' 术语"
arsovska,1,1-2,15,"que","que","（关系代词）","-","Pronombre relativo","pronombre",false,"Nexo subordinante","关系代词","","","","","","que → nombre (名)","subordinada relativa",""
arsovska,1,1-2,16,"se","se","（可-被动）","-","'se' de pasiva refleja","pronombre",false,"Marca de pasiva refleja","被动标记","","","","","","se → impersonal","subordinada relativa",""
arsovska,1,1-2,17,"le","le","（其）","-","Pronombre de complemento indirecto","pronombre",false,"Complemento indirecto","间接宾语","","","","","","le → al nombre (名)","subordinada relativa","'可名' = 可以给名字命名"
arsovska,1,1-2,18,"puede","poder","可","kě","Poder, ser posible","verbo",false,"Verbo modal","能愿动词",3,"singular","presente","indicativo","","","subordinada relativa","变位: 3ª sing. pres. indicativo"
arsovska,1,1-2,19,"asignar","asignar","名","míng","Asignar, dar (nombre)","verbo",false,"Verbo principal (infinitivo)","动词作谓语","","","","infinitivo","","","subordinada relativa","'名' 作动词=命名"
arsovska,1,1-2,20,"no","no","非","fēi","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,1,1-2,21,"es","ser","（系词）","-","Ser (cópula)","verbo",false,"Verbo copulativo","系动词",3,"singular","presente","indicativo","","","oración principal",""
arsovska,1,1-2,22,"su","su","其","qí","Posesivo (de él/ello)","determinante",false,"Determinante posesivo","物主限定词","","","","","","su → nombre","oración principal",""
arsovska,1,1-2,23,"nombre","nombre","名","míng","Nombre","sustantivo",false,"Atributo","名词作表语","","","","","","","oración principal",""
arsovska,1,1-2,24,"permanente","permanente","常","cháng","Permanente, eterno","adjetivo",false,"Adyacente (modificador)","形容词作定语","","","","","","","oración principal","'非常名' 的 '常'"
arsovska,1,1-3,25,"No","no","无","wú","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal","'无名' 的 '无'"
arsovska,1,1-3,26,"tiene","tener","有","yǒu","Tener","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","No tiene = 无"
arsovska,1,1-3,27,"nombre","nombre","名","míng","Nombre","sustantivo",false,"Objeto directo","名词作宾语","","","","","","","oración principal",""
arsovska,1,1-3,29,"inicio","inicio","始","shǐ","Inicio, comienzo","sustantivo",false,"Sujeto (pospuesto)","名词作主语","","","","","","","oración principal","'天地之始'"
arsovska,1,1-3,31,"cielo","cielo","天","tiān","Cielo","sustantivo",false,"Complemento del nombre","名词作定语","","","","","","","oración principal",""
arsovska,1,1-3,34,"tierra","tierra","地","dì","Tierra","sustantivo",false,"Complemento del nombre","名词作定语","","","","","","","oración principal",""
arsovska,1,1-4,35,"sí","sí","有","yǒu","Afirmación enfática","adverbio",false,"Adverbio de afirmación","肯定副词","","","","","","","oración principal","'有名' 的 '有'"
arsovska,1,1-4,36,"lo","lo","名","míng","Pronombre de complemento directo átono","pronombre",false,"Complemento directo","直接宾语代词",3,"singular","","","","lo → nombre (名)","oración principal","关键: lo 指代前句的 nombre"
arsovska,1,1-4,37,"tienen","tener","有","yǒu","Tener","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","变位: 3ª pl. pres. indicativo"
arsovska,1,1-4,39,"madres","madre","母","mǔ","Madre, origen","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","'万物之母'"
arsovska,1,1-4,42,"diez","diez","万","wàn","Diez (numeral)","numeral",false,"Cuantificador","数词","","","","","","","oración principal","diez mil = 万"
arsovska,1,1-4,43,"mil","mil","万","wàn","Mil (numeral)","numeral",false,"Cuantificador","数词","","","","","","","oración principal","diez mil = 万"
arsovska,1,1-4,44,"cosas","cosa","物","wù","Cosas, seres","sustantivo",false,"Término de preposición","名词","","","","","","","oración principal","万物"
arsovska,1,1-5,46,"ello","ello","（此）","-","Pronombre neutro","pronombre",false,"Término de preposición","中性代词","","","","","","ello → 前文所述","oración principal",""
arsovska,1,1-5,47,"siempre","siempre","常","cháng","Siempre, constantemente","adverbio",false,"Complemento circunstancial","时间副词","","","","","","","oración principal","'常无欲' 的 '常'"
arsovska,1,1-5,49,"apego","apego","欲","yù","Apego, deseo","sustantivo",false,"Término de preposición","名词","","","","","","","oración principal","'无欲'"
