chapter,zh_source_edition,chinese,translator,translation,ai_interpretation
1,"王弼本","道可道，非常道。名可名，非常名。无名天地之始，有名万物之母。故常无欲，以观其妙；常有欲，以观其徼。此两者同出而异名，同谓之玄，玄之又玄，众妙之门。","arsovska","El Dao del que se puede hablar no es el Dao constante; el nombre que se le puede asignar no es su nombre permanente. No tiene nombre el inicio del cielo y la tierra; sí lo tienen las madres de las diez mil cosas. Por ello, siempre sin apego se observan sus prodigios, y siempre con anhelo se indagan sus límites. Estos dos, juntos, emergen de la misma fuente, pero se nombran diferente; juntos se nombran misterio. Son el misterio del misterio, puerta de infinitos prodigios.",""
2,"王弼本","天下皆知美之为美，斯恶已。皆知善之为善，斯不善已。故有无相生，难易相成，长短相较，高下相倾，音声相和，前后相随。是以圣人处无为之事，行不言之教；万物作焉而不辞，生而不有，为而不恃，功成而弗居。夫唯弗居，是以不去。","arsovska","En el mundo, todos saben que en la belleza emerge la fealdad y en la bondad asoma la maldad. Lo manifiesto y lo no manifiesto se generan mutuamente; fácil y difícil se logran uno al otro; largo y corto se definen mutuamente; alto y bajo dependen el uno del otro. El tono y el sonido se armonizan; adelante y atrás se persiguen. Puesto que así son las cosas, el sabio actúa sin hacer, enseña sin predicar, y las diez mil cosas suceden sin pregonar. Engendra sin poseer, actúa sin apego, no se atribuye méritos y, justo por ello, nada puede perder.",""
3,"王弼本","不尚贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民心不乱。是以圣人之治，虚其心，实其腹，弱其志，强其骨。常使民无知无欲。使夫智者不敢为也。为无为，则无不治。","arsovska","Al no valorar a los genios, el pueblo no pelea; al no apreciar lo escaso, el pueblo no roba; al no exhibir lo que incita al deseo, el corazón no se alborota. Así es como el sabio gobierna: vacía las mentes y llena los vientres; debilita la voluntad y fortalece los huesos. Haz que el pueblo nada sepa y nada anhele. Haz que el sagaz no se atreva a actuar. Actuando sin hacer, nada queda sin atender.",""
4,"王弼本","道冲而用之或不盈，渊兮似万物之宗；挫其锐，解其纷，和其光，同其尘，湛兮似或存。吾不知谁之子，象帝之先。","arsovska","El Dao se agita, pero nunca se desborda. ¡Qué abismo! Parece el ancestro de las diez mil cosas. Aplana el filo, deshace el nudo, pule el brillo y reúne el polvo. ¡Qué profundo! Parece existir... No sé de quién es hijo; semeja al ancestro de las deidades.",""
5,"王弼本","天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。天地之间，其犹橐龠乎？虚而不屈，动而愈出。多言数穷，不如守中。","arsovska","El cielo y la tierra no son compasivos, toman las diez mil cosas por perros de paja. El sabio no es compasivo; toma al pueblo por perro de paja. Entre el cielo y la tierra ¿acaso no sopla un fuelle? Vacuidad que no se agota; cuanto más se mueve, más emana. Las palabras pronto se acaban; nada como conservar el justo medio.",""
6,"王弼本","谷神不死，是谓玄牝。玄牝之门，是谓天地根。绵绵若存，用之不勤。","arsovska","El espíritu del valle no perece; se nombra la hembra misteriosa. La puerta de la hembra es la raíz del cielo y la tierra, sutil y etérea, mas inagotable en su utilidad.",""
7,"王弼本","天长地久。天地所以能长且久者，以其不自生，故能长生。是以圣人后其身而身先；外其身而身存。非以其无私邪，故能成其私。","arsovska","El cielo es longevo y la tierra perenne, y así son porque no se crean a sí mismos; por ello pueden perdurar. Así, el sabio se sitúa atrás para estar adelante, se relega para perdurar. ¿No es acaso menguar el 'yo' lo que permite lograr el 'yo'?",""
8,"王弼本","上善若水。水善利万物而不争，处众人之所恶，故几于道。居善地，心善渊，与善仁，言善信，正善治，事善能，动善时。夫唯不争，故无尤。","arsovska","La bondad superior es como el agua. El agua favorece a todas las cosas sin contender y habita los lugares repelidos por el hombre; por ello se asemeja al Dao. Habita en tierras amables, su corazón es bondad profunda, se relaciona con compasión, habla con credibilidad, gobierna con rectitud, actúa con habilidad, se mueve con oportunidad. El sabio no contiende y, por eso mismo, no se equivoca.",""
9,"王弼本","持而盈之，不如其已；揣而棁之，不可长保。金玉满堂，莫之能守；富贵而骄，自遗其咎。功成身退，天之道也。","arsovska","Más vale soltar que aferrarse a lo colmado. Por más que ocultes y afiles la espada, su filo no durará. ¿Quién puede cuidar un palacio lleno de oro y jade? Presumir la riqueza augura sólo calamidad. Saber retirarse al lograr es el Dao del cielo.",""
10,"王弼本","载营魄抱一，能无离乎？专气致柔，能婴儿乎？涤除玄览，能无疵乎？爱国治民，能无知乎？天门开阖，能为雌乎？明白四达，能无为乎？生之，畜之。生而不有，为而不恃，长而不宰，是谓玄德。","arsovska","Nutriendo el alma terrestre, ¿puedes afianzar su unión con el cuerpo? Suavizando el qi, ¿puedes ser infante de nuevo? Puliendo el espejo misterioso, ¿puedes eliminar sus imperfecciones? ¿Puedes abrir y cerrar la puerta del cielo sin actuar como hembra? ¿Puedes amar la patria y gobernar al pueblo actuando sin hacer? ¿Puedes comprender el mundo rechazando el conocer? Los crea, los cría, engendra sin poseer, actúa sin apego, cría sin dominar. Eso se nombra Virtud misteriosa.",""
