term_zh,pinyin,term_es,category,first_chapter,note
道,"dào","Dao","proper_noun,concept",1,"核心概念。Arsovska 采用音译 Dao(异化策略),不译为 Camino/Vía;可作名词(el Dao)亦可动词化(hablar del Dao)"
德,"dé","Virtud","concept",10,"常大写 Virtud;第38、51章的核心。译者用大写区别于普通 virtud"
无为,"wú wéi","actuar sin hacer / no hacer","concept",2,"核心政治-修养概念。Arsovska 多译为 'actuar sin hacer' 或 'no hacer',非名词化"
自然,"zì rán","espontaneidad","concept",17,"译为 espontaneidad(自发、本然),非现代义 naturaleza"
圣人,"shèng rén","el sabio","proper_noun",2,"理想人格,统一译 el sabio(阳性单数),句中常作省略主语的隐含施事"
天下,"tiān xià","el mundo / bajo el cielo","concept",2,"依语境译 el mundo 或 bajo el cielo"
天地,"tiān dì","el cielo y la tierra","proper_noun",1,"固定搭配"
万物,"wàn wù","las diez mil cosas","concept",1,"直译保留数字意象 diez mil,指世间万有"
玄,"xuán","misterio","concept",1,"第1章 '玄之又玄' 译 misterio del misterio"
牝,"pìn","hembra / Hembra","concept",6,"雌性;第6章 玄牝=hembra misteriosa,第61章大写 Hembra"
牡,"mǔ","macho / Macho","concept",61,"雄性;与 牝 相对"
阴,"yīn","yin","proper_noun",42,"音译保留,不译"
阳,"yáng","yang","proper_noun",42,"音译保留,不译"
气,"qì","qi","proper_noun",10,"音译保留(第10、42、55章)"
仁,"rén","humanidad / benevolencia","concept",5,"儒家概念,第5、18、38章"
义,"yì","justicia","concept",18,"第18、38章"
礼,"lǐ","rito / los ritos","concept",38,"第38章"
侯王,"hóu wáng","reyes y príncipes","proper_noun",32,"统治者称谓"
天子,"tiān zǐ","el Hijo del cielo","proper_noun",62,"天子,第62章"
赤子,"chì zǐ","infante","concept",55,"婴儿,喻至纯之德"
一,"yī","el Uno / la Unidad","concept",39,"第39、42章的 '一';第42章 '道生一' 译 el Uno"
朴,"pǔ","la simpleza / madera sin tallar","concept",19,"未雕之木,喻本真;第28、32、37章"
社稷,"shè jì","las cosechas","proper_noun",78,"社稷=国家/江山,第78章意译 señor de las cosechas"
